rank,id,name,location,pv_score_max,pv_status_model,geocode_score,image_path,overlay_path,mask_ratio
1,1868,上海虹桥天地,上海市闵行区申长路688号,0.993004,likely_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1868_上海虹桥天地.jpg,,
2,6363,上海马桥满天星生活广场,上海市闵行区马桥镇银春路2276号,0.992614,likely_pv,88.06,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\6363_上海马桥满天星生活广场.jpg,,
3,7027,龙湖上海闵行星悦荟,上海市闵行区银春路/富才路,0.992614,likely_pv,91.25,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7027_龙湖上海闵行星悦荟.jpg,,
4,7306,上海井亭天地生活广场,上海市闵行区虹桥镇虹泉路1078号,0.961964,likely_pv,89.71,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7306_上海井亭天地生活广场.jpg,,
5,992,上海青浦合生新天地,上海市青浦区嘉松中路5999弄,0.958806,likely_pv,99.33,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\992_上海青浦合生新天地.jpg,,
6,4657,上海漕河泾印象城,上海市徐汇区漕宝路1011号,0.957230,likely_pv,87.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4657_上海漕河泾印象城.jpg,,
7,3736,上海百联西郊购物中心,上海市长宁区仙霞西路88号,0.944631,likely_pv,100,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3736_上海百联西郊购物中心.jpg,,
8,8222,上海江南里花园广场,,0.923675,likely_pv,82.5,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\8222_上海江南里花园广场.jpg,,
9,7677,上海泗泾招商花园城,泗泾招商花园城(建设中)，上海市上海市松江区横港公路66号,0.913061,likely_pv,85.8,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7677_上海泗泾招商花园城.jpg,,
10,341,上海嘉定中信泰富万达广场,上海市嘉定区胜辛路426号,0.909813,likely_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\341_上海嘉定中信泰富万达广场.jpg,,
11,5357,上海宝山正大乐城,上海市宝山区陆翔路111号,0.900761,likely_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\5357_上海宝山正大乐城.jpg,,
12,3947,上海晶耀前滩,上海市浦东新区耀体路308号,0.855657,likely_pv,90,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\3947_上海晶耀前滩.jpg,,
13,4010,上海信业购物中心,信业购物中心，上海市上海市嘉定区嘉定环城路762弄1-6号,0.842195,likely_pv,71.49,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\4010_上海信业购物中心.jpg,,
14,8189,上海凉城商业广场,,0.840954,likely_pv,78.55,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\8189_上海凉城商业广场.jpg,,
15,73,上海华之门徐汇华泾TOD项目,上海市长宁区宜山路地铁站,0.829595,likely_pv,88.51,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\73_上海华之门徐汇华泾TOD项目.jpg,,
16,7529,上海东苑米兰广场,上海市闵行区颛兴路188号,0.815112,likely_pv,89.23,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\7529_上海东苑米兰广场.jpg,,
