id,name,location,brand,developer,status,opening_year,area_wan_sqm,floors,province,city,city_level,climate_zone,created_at,updated_at,geocode_query,longitude,latitude,geocode_score,geocode_address,geocode_status,geocode_error,geocode_provider,geocode_repaired,image_status,image_path,image_error,imagery_provider,imagery_size_px,imagery_radius_m,original_image_path,project_image_path,image_exists,image_width,image_height,image_mean,image_std,vegetation_ratio,water_blue_ratio,dark_roof_ratio,edge_density,center_non_green_ratio,largest_rect_ratio,quality_flags,quality_status
36,上海南翔印象城MEGA,上海市嘉定区陈翔公路2299号,印力地产,印力商用置业有限公司,已开业,2020,34.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市嘉定区陈翔公路2299号,121.320604884854,31.315752119463,88.33,上海市嘉定区陈翔公路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\36_上海南翔印象城MEGA.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\36_上海南翔印象城MEGA.jpg,C:\PV\datasets\shanghai_malls_satellite\images\36_上海南翔印象城MEGA.jpg,1,1024,1024,125.108,50.623,0.118513,0.051338,0.210794,0.219501,0.823477,0.998048,,通过
42,上海真如环宇城MAX,上海市普陀区铜川路高·尚领域高逸尚城,中海,中海地产集团有限责任公司,已开业,2023,32.2,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区铜川路高·尚领域高逸尚城,121.399609452164,31.252623819217,82.47,上海市普陀区铜川路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\42_上海真如环宇城MAX.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\42_上海真如环宇城MAX.jpg,C:\PV\datasets\shanghai_malls_satellite\images\42_上海真如环宇城MAX.jpg,1,1024,1024,112.156,47.854,0.206573,0.007416,0.251489,0.183667,0.945696,0.496585,,通过
52,上海环球港,上海市普陀区中山北路3300号,,月星集团有限公司,已开业,2013,32.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区中山北路3300号,121.4070753946,31.233729590305,100,上海市普陀区中山北路3300号,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\52_上海环球港.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\52_上海环球港.jpg,C:\PV\datasets\shanghai_malls_satellite\images\52_上海环球港.jpg,1,1024,1024,103.751,49.949,0.099739,0.002827,0.428173,0.150828,0.867188,0.712895,,通过
57,上海大华老镇嘉年华,上海市虹口区场中路,,大华(集团)有限公司,已开业,2019,30.0,2,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市虹口区场中路,121.469249529528,31.308709577313,100,上海市虹口区江湾镇街道场中路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\57_上海大华老镇嘉年华.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\57_上海大华老镇嘉年华.jpg,C:\PV\datasets\shanghai_malls_satellite\images\57_上海大华老镇嘉年华.jpg,1,1024,1024,106.955,52.380,0.233601,0.024897,0.276042,0.210897,0.768724,0.442926,,通过
73,上海华之门徐汇华泾TOD项目,上海市长宁区宜山路地铁站,,上海华之门信息技术有限公司,在建,2027,30.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市长宁区宜山路地铁站,121.38273617937,31.169229374825,88.51,上海市闵行区宜山路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\73_上海华之门徐汇华泾TOD项目.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\73_上海华之门徐汇华泾TOD项目.jpg,C:\PV\datasets\shanghai_malls_satellite\images\73_上海华之门徐汇华泾TOD项目.jpg,1,1024,1024,104.513,52.378,0.283755,0.000091,0.253350,0.205322,0.664821,0.998048,,通过
74,上海仲盛世界商城,上海市闵行区都市路5001号,,仲盛房地产（上海）有限公司,已开业,2009,29.2,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区都市路5001号,121.401408883697,31.070750684265,87.5,上海市闵行区都市路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\74_上海仲盛世界商城.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\74_上海仲盛世界商城.jpg,C:\PV\datasets\shanghai_malls_satellite\images\74_上海仲盛世界商城.jpg,1,1024,1024,92.918,44.972,0.328921,0.000311,0.254934,0.237318,0.672138,0.998048,,通过
75,上海世博源,上海市浦东新区世博大道1368号,百联,上海百联集团股份有限公司,已开业,2014,28.69,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区世博大道1368号,121.48032791271,31.187619097306,89.06,上海市浦东新区世博大道,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\75_上海世博源.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\75_上海世博源.jpg,C:\PV\datasets\shanghai_malls_satellite\images\75_上海世博源.jpg,1,1024,1024,117.648,47.109,0.193717,0.008889,0.225616,0.136949,0.717786,0.275368,,通过
131,上海青浦万达茂,上海市青浦区青浦镇淀山湖大道851号,万达,珠海万达商业管理集团股份有限公司,已开业,2019,24.7,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市青浦区青浦镇淀山湖大道851号,121.083482490937,31.140301464324,86.39,上海市青浦区盈浦街道淀山湖大道,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\131_上海青浦万达茂.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\131_上海青浦万达茂.jpg,C:\PV\datasets\shanghai_malls_satellite\images\131_上海青浦万达茂.jpg,1,1024,1024,91.112,53.252,0.475542,0.028350,0.116939,0.121921,0.358158,0.998048,,通过
135,上海正大广场,上海市浦东新区陆家嘴西路168号,正大,正大置地有限公司,已开业,2003,24.3,9,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区陆家嘴西路168号,121.495144889455,31.23923750652,100,上海市浦东新区陆家嘴街道陆家嘴西路168号,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\135_上海正大广场.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\135_上海正大广场.jpg,C:\PV\datasets\shanghai_malls_satellite\images\135_上海正大广场.jpg,1,1024,1024,83.388,55.035,0.260918,0.010999,0.408050,0.177873,0.816823,0.021315,,通过
142,上海万象城,上海市闵行区吴中路1599号,华润,华润置地有限公司,已开业,2018,24.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区吴中路1599号,121.36378102068,31.17242259028,100,上海市闵行区吴中路1599号,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\142_上海万象城.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\142_上海万象城.jpg,C:\PV\datasets\shanghai_malls_satellite\images\142_上海万象城.jpg,1,1024,1024,112.423,51.119,0.233767,0.007494,0.222725,0.214190,0.767613,0.647488,,通过
