id,name,location,brand,developer,status,opening_year,area_wan_sqm,floors,province,city,city_level,climate_zone,created_at,updated_at,geocode_query,longitude,latitude,geocode_score,geocode_address,geocode_status,geocode_error,geocode_provider,geocode_repaired,image_status,image_path,image_error,imagery_provider,imagery_size_px,imagery_radius_m,original_image_path,project_image_path,image_exists,image_width,image_height,image_mean,image_std,vegetation_ratio,water_blue_ratio,dark_roof_ratio,edge_density,center_non_green_ratio,largest_rect_ratio,quality_flags,quality_status
157,上海七宝万科广场,上海市闵行区漕宝街3366号,万科,万科企业股份有限公司,已开业,2017,23.7,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区漕宝街3366号,121.3769429,31.1147666,76.34,上海市闵行区,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\157_上海七宝万科广场.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\157_上海七宝万科广场.jpg,C:\PV\datasets\shanghai_malls_satellite\images\157_上海七宝万科广场.jpg,1,1024,1024,83.297,44.301,0.434038,0.000026,0.308782,0.249130,0.503739,0.998048,地理编码分数低,需复核
181,上海置地西岸金融城,香港置地西岸金融城(建设中)，上海市上海市徐汇区龙腾大道和东安路交叉口,,香港置地控股有限公司,已开业,2024,23.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市上海置地西岸金融城,121.4692071,31.2322758,75.82,上海市上海市,ok,,arcgis_world_geocoding_repaired_shanghai_bbox,1,ok,C:\PV\datasets\shanghai_malls_satellite\images\181_上海置地西岸金融城.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\181_上海置地西岸金融城.jpg,C:\PV\datasets\shanghai_malls_satellite\images\181_上海置地西岸金融城.jpg,1,1024,1024,87.961,52.280,0.496878,0.000873,0.181891,0.183207,0.660912,0.998048,地理编码分数低；坐标经过修复,需复核
382,上海松江万达广场,上海市松江区广富林路658号,万达,珠海万达商业管理集团股份有限公司,已开业,2014,18.71,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市松江区广富林路658号,121.148934212354,31.049058042271,90,上海市松江区广富林路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\382_上海松江万达广场.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\382_上海松江万达广场.jpg,C:\PV\datasets\shanghai_malls_satellite\images\382_上海松江万达广场.jpg,1,1024,1024,65.080,43.647,0.607187,0.000649,0.198908,0.116878,0.313933,0.042475,绿地占比过高；中心区域非绿地占比低,需复核
645,上海TODTOWN天荟,TODTOWN天荟悦麓，上海市上海市闵行区莘朱路288弄(莘庄地铁站南口旁),新鸿基,新鸿基有限公司,已开业,2025,16.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市上海TODTOWN天荟,121.45806,31.22222,74.68,上海上海市上海市,ok,,arcgis_world_geocoding_repaired_shanghai_bbox,1,ok,C:\PV\datasets\shanghai_malls_satellite\images\645_上海TODTOWN天荟.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\645_上海TODTOWN天荟.jpg,C:\PV\datasets\shanghai_malls_satellite\images\645_上海TODTOWN天荟.jpg,1,1024,1024,92.871,47.249,0.233335,0.002066,0.385810,0.142487,0.860086,0.998048,地理编码分数低；坐标经过修复,需复核
698,上海超极合生汇,合生汇店，上海市上海市杨浦区翔殷路与沙岗路交叉口西北80米,合生,广州超竞投资有限公司,已开业,2025,15.7,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,合生汇店，上海市上海市杨浦区翔殷路与沙岗路交叉口西北80米,121.527656698324,31.307025492427,70.35,上海市杨浦区翔殷路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\698_上海超极合生汇.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\698_上海超极合生汇.jpg,C:\PV\datasets\shanghai_malls_satellite\images\698_上海超极合生汇.jpg,1,1024,1024,89.333,50.368,0.303123,0.003802,0.360106,0.211247,0.735905,0.015369,地理编码分数低,需复核
922,上海颛桥万达广场,万达广场(颛桥店)，上海市上海市闵行区都市路2700号,万达,珠海万达商业管理集团股份有限公司,已开业,2018,14.63,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,万达广场(颛桥店)，上海市上海市闵行区都市路2700号,121.401411715969,31.073048747004,72.96,万达广场,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\922_上海颛桥万达广场.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\922_上海颛桥万达广场.jpg,C:\PV\datasets\shanghai_malls_satellite\images\922_上海颛桥万达广场.jpg,1,1024,1024,109.236,51.740,0.211721,0.001888,0.256751,0.203166,0.994273,0.998048,地理编码分数低,需复核
1533,上海嘉宝紫提湾新荟广场,上海市嘉定区德立路88弄,,中国光大实业（集团）有限责任公司,已开业,2023,12.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市嘉定区德立路88弄,121.2606119,31.377756,79.12,上海市嘉定区,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\1533_上海嘉宝紫提湾新荟广场.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1533_上海嘉宝紫提湾新荟广场.jpg,C:\PV\datasets\shanghai_malls_satellite\images\1533_上海嘉宝紫提湾新荟广场.jpg,1,1024,1024,95.980,45.400,0.459743,0.006679,0.204369,0.241920,0.864521,0.998048,地理编码分数低,需复核
1557,上海宝山经纬汇,上海市宝山区经地路99弄,,经纬置地有限公司,已开业,2020,12.0,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市宝山区经地路99弄,121.4452993,31.4015684,79.16,上海市宝山区,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\1557_上海宝山经纬汇.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\1557_上海宝山经纬汇.jpg,C:\PV\datasets\shanghai_malls_satellite\images\1557_上海宝山经纬汇.jpg,1,1024,1024,85.376,48.823,0.460735,0.014874,0.190921,0.150351,0.525953,0.998048,地理编码分数低,需复核
2007,上海大宁国际商业广场,大宁国际商业广场，上海市上海市静安区共和新路1878-2008号(近大宁路),,崇邦新基（上海）企业管理咨询有限公司,已开业,2007,10.5,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市上海大宁国际商业广场,121.4692071,31.2322758,74.63,上海市上海市,ok,,arcgis_world_geocoding_repaired_shanghai_bbox,1,ok,C:\PV\datasets\shanghai_malls_satellite\images\2007_上海大宁国际商业广场.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\2007_上海大宁国际商业广场.jpg,C:\PV\datasets\shanghai_malls_satellite\images\2007_上海大宁国际商业广场.jpg,1,1024,1024,87.961,52.280,0.496878,0.000873,0.181891,0.183207,0.660912,0.998048,地理编码分数低；坐标经过修复,需复核
2348,上海大洋晶典·天安千树,上海市普陀区苏州河昌化路桥,,天安中国投资有限公司,已开业,2022,10.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区苏州河昌化路桥,121.443836767385,31.242584168949,86.55,上海市静安区江宁路街道昌化路,ok,,arcgis_world_geocoding,0,ok,C:\PV\datasets\shanghai_malls_satellite\images\2348_上海大洋晶典·天安千树.jpg,,esri_world_imagery_export,1024,200.0,C:\Users\Admin\Documents\光伏覆盖率 2\satellite_experiment\full_shanghai_dataset\images\2348_上海大洋晶典·天安千树.jpg,C:\PV\datasets\shanghai_malls_satellite\images\2348_上海大洋晶典·天安千树.jpg,1,1024,1024,104.593,50.973,0.120253,0.002904,0.402707,0.166217,0.908029,0.557072,原始地址疑似外地/异常,需复核
