id,name,location,brand,developer,status,opening_year,area_wan_sqm,floors,province,city,city_level,climate_zone,created_at,updated_at,geocode_query,longitude,latitude,geocode_score,geocode_address,geocode_status,geocode_error,geocode_provider,geocode_repaired
36,上海南翔印象城MEGA,上海市嘉定区陈翔公路2299号,印力地产,印力商用置业有限公司,已开业,2020,34.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市嘉定区陈翔公路2299号,121.320604884854,31.315752119463,88.33,上海市嘉定区陈翔公路,ok,,arcgis_world_geocoding,0
42,上海真如环宇城MAX,上海市普陀区铜川路高·尚领域高逸尚城,中海,中海地产集团有限责任公司,已开业,2023,32.2,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区铜川路高·尚领域高逸尚城,121.399609452164,31.252623819217,82.47,上海市普陀区铜川路,ok,,arcgis_world_geocoding,0
52,上海环球港,上海市普陀区中山北路3300号,,月星集团有限公司,已开业,2013,32.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区中山北路3300号,121.4070753946,31.233729590305,100,上海市普陀区中山北路3300号,ok,,arcgis_world_geocoding,0
57,上海大华老镇嘉年华,上海市虹口区场中路,,大华(集团)有限公司,已开业,2019,30.0,2,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市虹口区场中路,121.469249529528,31.308709577313,100,上海市虹口区江湾镇街道场中路,ok,,arcgis_world_geocoding,0
73,上海华之门徐汇华泾TOD项目,上海市长宁区宜山路地铁站,,上海华之门信息技术有限公司,在建,2027,30.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市长宁区宜山路地铁站,121.38273617937,31.169229374825,88.51,上海市闵行区宜山路,ok,,arcgis_world_geocoding,0
74,上海仲盛世界商城,上海市闵行区都市路5001号,,仲盛房地产（上海）有限公司,已开业,2009,29.2,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区都市路5001号,121.401408883697,31.070750684265,87.5,上海市闵行区都市路,ok,,arcgis_world_geocoding,0
75,上海世博源,上海市浦东新区世博大道1368号,百联,上海百联集团股份有限公司,已开业,2014,28.69,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区世博大道1368号,121.48032791271,31.187619097306,89.06,上海市浦东新区世博大道,ok,,arcgis_world_geocoding,0
131,上海青浦万达茂,上海市青浦区青浦镇淀山湖大道851号,万达,珠海万达商业管理集团股份有限公司,已开业,2019,24.7,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市青浦区青浦镇淀山湖大道851号,121.083482490937,31.140301464324,86.39,上海市青浦区盈浦街道淀山湖大道,ok,,arcgis_world_geocoding,0
135,上海正大广场,上海市浦东新区陆家嘴西路168号,正大,正大置地有限公司,已开业,2003,24.3,9,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区陆家嘴西路168号,121.495144889455,31.23923750652,100,上海市浦东新区陆家嘴街道陆家嘴西路168号,ok,,arcgis_world_geocoding,0
142,上海万象城,上海市闵行区吴中路1599号,华润,华润置地有限公司,已开业,2018,24.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区吴中路1599号,121.36378102068,31.17242259028,100,上海市闵行区吴中路1599号,ok,,arcgis_world_geocoding,0
155,上海爱琴海购物中心,上海市闵行区吴中路1504号,爱琴海,红星美凯龙控股集团有限公司,已开业,2018,24.0,8,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区吴中路1504号,121.367202753329,31.174428976618,100,上海市闵行区吴中路1504号,ok,,arcgis_world_geocoding,0
157,上海七宝万科广场,上海市闵行区漕宝街3366号,万科,万科企业股份有限公司,已开业,2017,23.7,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区漕宝街3366号,121.3769429,31.1147666,76.34,上海市闵行区,ok,,arcgis_world_geocoding,0
181,上海置地西岸金融城,香港置地西岸金融城(建设中)，上海市上海市徐汇区龙腾大道和东安路交叉口,,香港置地控股有限公司,已开业,2024,23.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市上海置地西岸金融城,121.4692071,31.2322758,75.82,上海市上海市,ok,,arcgis_world_geocoding_repaired_shanghai_bbox,1
197,上海LOVE@大都会,上海市普陀区曹杨路1518号,,长江和记实业有限公司,已开业,2023,22.0,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区曹杨路1518号,121.404761573425,31.245697618369,87.5,上海市普陀区曹杨路,ok,,arcgis_world_geocoding,0
210,上海聚峰中心,上海市浦东新区巨峰路,,嘉里建设有限公司,未开业,2026,22.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区巨峰路,121.6397113,31.282244599,100,巨峰路,ok,,arcgis_world_geocoding,0
211,上海龙之梦城市生活中心,上海市长宁区长宁路1018号,,上海长峰(集团)有限公司,已开业,2006,22.0,9,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市长宁区长宁路1018号,121.412547771545,31.220618994544,100,上海市长宁区华阳路街道长宁路1018号,ok,,arcgis_world_geocoding,0
218,上海江桥万达广场,上海市嘉定区金沙江西路1051号,万达,珠海万达商业管理集团股份有限公司,已开业,2011,21.39,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市嘉定区金沙江西路1051号,121.298538306662,31.243744141886,89.06,上海市嘉定区金沙江西路,ok,,arcgis_world_geocoding,0
267,上海长泰广场,上海市浦东新区金科路2889弄,,长甲集团国际控股有限公司,已开业,2015,20.0,3,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区金科路2889弄,121.595986923057,31.208226812755,99.33,上海市浦东新区金科路2889号,ok,,arcgis_world_geocoding,0
330,上海五角场万达广场,上海市杨浦区淞沪路77号,万达,珠海万达商业管理集团股份有限公司,已开业,2018,19.96,7,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市杨浦区淞沪路77号,121.508123219932,31.307926374833,91.25,上海市杨浦区淞沪路,ok,,arcgis_world_geocoding,0
341,上海嘉定中信泰富万达广场,上海市嘉定区胜辛路426号,万达,中信泰富（中国）投资有限公司,已开业,2019,19.31,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市嘉定区胜辛路426号,121.217383413771,31.387188182259,89.23,上海市嘉定区胜辛路,ok,,arcgis_world_geocoding,0
351,上海静安大融城,上海市静安区沪太路1111弄,,光大安石（北京）资产管理有限公司,已开业,2018,19.0,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市静安区沪太路1111弄,121.443938686525,31.261815615875,87.5,上海市静安区沪太路,ok,,arcgis_world_geocoding,0
381,上海临港印象城MEGA,上海市浦东新区环湖西一路,印力地产,上海港城开发（集团）有限公司,已开业,2025,18.8,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区环湖西一路,121.922846510582,30.902100746359,100,上海市浦东新区环湖西一路,ok,,arcgis_world_geocoding,0
382,上海松江万达广场,上海市松江区广富林路658号,万达,珠海万达商业管理集团股份有限公司,已开业,2014,18.71,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市松江区广富林路658号,121.148934212354,31.049058042271,90,上海市松江区广富林路,ok,,arcgis_world_geocoding,0
435,上海久光中心,上海市静安区大宁路411号,,上海九百（集团）有限公司,已开业,2022,18.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市静安区大宁路411号,121.444630376366,31.275416126885,89.23,上海市静安区闸北区大宁路,ok,,arcgis_world_geocoding,0
445,上海瑞虹天地太阳宫,上海市虹口区瑞虹路188号,,瑞安新天地有限公司,已开业,2022,18.0,7,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市虹口区瑞虹路188号,121.495425743905,31.267081958961,89.23,上海市虹口区嘉兴路街道瑞虹路,ok,,arcgis_world_geocoding,0
502,上海凯德虹口商业中心,上海市虹口区西江湾路|388,凯德,凯德置地（中国）投资有限公司,已开业,2012,17.3,7,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市虹口区西江湾路|388,121.472780043945,31.273027933795,100,上海市虹口区广中路街道西江湾路388号,ok,,arcgis_world_geocoding,0
510,龙湖上海虹桥天街,上海市闵行区申长路869号,龙湖,龙湖集团控股有限公司,已开业,2017,17.05,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区申长路869号,121.309222039445,31.195043419113,100,上海市闵行区申长路869号,ok,,arcgis_world_geocoding,0
525,上海宝山日月光中心,上海市宝山区沪太路/江场西路,,上海鼎固置业有限公司,已开业,2022,17.0,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市宝山区沪太路/江场西路,121.421257231423,31.297246735184,94.62,上海市宝山区大场镇江场西路,ok,,arcgis_world_geocoding,0
560,上海宝山万达广场,上海市宝山区一二八纪念路968号,万达,珠海万达商业管理集团股份有限公司,已开业,2012,16.9,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市宝山区一二八纪念路968号,121.451746665553,31.328746685156,91.25,上海市宝山区高境镇一二八纪念路,ok,,arcgis_world_geocoding,0
562,上海金山万达广场,上海市金山区龙皓路1088号,万达,珠海万达商业管理集团股份有限公司,已开业,2015,16.82,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市金山区龙皓路1088号,121.330077610903,30.755403259744,87.5,上海市金山区龙皓路,ok,,arcgis_world_geocoding,0
586,上海百联中环购物广场,上海市普陀区真光路1288号,百联,上海百联集团股份有限公司,已开业,2007,16.33,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市普陀区真光路1288号,121.375592137653,31.24333190039,87.5,上海市普陀区真光路,ok,,arcgis_world_geocoding,0
588,上海静安大悦城,静安大悦城，上海市上海市静安区西藏北路166号,大悦城,大悦城控股集团股份有限公司,已开业,2011,16.3,10,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,静安大悦城，上海市上海市静安区西藏北路166号,121.467686529023,31.244973326682,85.02,上海市静安区西藏北路166号,ok,,arcgis_world_geocoding,0
599,上海崇明万达广场（A馆）,上海市崇明区城桥镇翠竹路2377号,万达,上海百联集团股份有限公司,已开业,2021,16.06,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市崇明区城桥镇翠竹路2377号,121.425265791821,31.625724414037,81.47,上海市崇明翠竹路,ok,,arcgis_world_geocoding,0
624,上海周浦万达广场,上海市浦东新区周浦镇年家浜路518号,万达,珠海万达商业管理集团股份有限公司,已开业,2010,16.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区周浦镇年家浜路518号,121.56519957891,31.116488390191,98.59,上海市浦东新区年家浜路518号,ok,,arcgis_world_geocoding,0
