mall_id,name,province,city,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
4,南京弘阳广场,江苏省,南京市,A,118.7205933,32.13939897,official_poi_auto,,,,,,amap,南京弘阳广场,multi_provider_agree
7,南京金鹰世界,江苏省,南京市,A,118.73527498,32.02584827,manual_review,admin,,,2,2026-07-15 01:07:32,amap,金鹰世界,multi_provider_agree
13,杭州嘉里城市之星,浙江省,杭州市,A,120.15782334,30.26262448,manual_review,admin,,,2,2026-07-14 06:46:50,amap,杭州嘉里中心,weak_or_disputed
20,无锡悦尚奥特莱斯,江苏省,无锡市,A,120.30685068,31.63562622,manual_review,admin,,,2,2026-07-15 01:08:42,tencent,悦尚奥特莱斯-E区,multi_provider_agree
23,常州金鹰世界,江苏省,常州市,A,119.9380066,31.78016648,manual_review,admin,,,2,2026-07-15 01:10:32,amap,金鹰世界,weak_or_disputed
24,常州江南环球港,江苏省,常州市,A,119.97465907,31.8429338,official_poi_auto,,,,,,amap,常州江南环球港沙驰,multi_provider_agree
36,上海南翔印象城MEGA,上海市,上海市,A,121.30116565,31.30695218,official_poi_auto,,,,,,tencent,上海南翔印象城MEGA,multi_provider_agree
42,上海真如环宇城MAX,上海市,上海市,A,121.40468423,31.25202127,manual_review,admin,确认商场主体中心,,1,2026-07-09 05:58:37,amap,真如环宇城MAX购物中心,single_provider_strong
49,南通金鹰世界,江苏省,南通市,A,120.94317015,31.97000443,official_poi_auto,,,,,,amap,南通金鹰世界营销中心,multi_provider_agree
52,上海环球港,上海市,上海市,A,121.40781458,31.23464669,official_poi_auto,,,,,,tencent,上海环球港,multi_provider_agree
53,苏州圆融时代广场,江苏省,苏州市,A,120.70887881,31.32281776,manual_review,admin,,,2,2026-07-15 01:12:57,tencent,圆融时代广场,multi_provider_agree
57,上海大华老镇嘉年华,上海市,上海市,A,121.41299273,31.30392471,manual_review,admin,,,2,2026-07-14 03:06:17,amap,大华老镇嘉年华,multi_provider_agree
62,苏州中心一期,江苏省,苏州市,A,120.67337204,31.31876284,official_poi_auto,,,,,,amap,苏州中心商场,multi_provider_agree
67,宁波世纪金源购物中心,浙江省,宁波市,A,121.22669886,30.33109018,official_poi_auto,,,,,,amap,宁波世纪金源购物中心,multi_provider_agree
69,南京万达茂,江苏省,南京市,A,118.98388394,32.12303562,official_poi_auto,,,,,,tencent,南京万达茂,multi_provider_agree
73,上海华之门徐汇华泾TOD项目,上海市,上海市,A,121.46098916,31.1637035,manual_review,admin,,,2,2026-07-14 02:55:47,amap,GATE M华之门广场展厅,weak_or_disputed
74,上海仲盛世界商城,上海市,上海市,A,121.38260598,31.10907571,official_poi_auto,,,,,,tencent,仲盛世界商城,multi_provider_agree
75,上海世博源,上海市,上海市,A,121.48818542,31.18528835,official_poi_auto,,,,,,amap,世博源,multi_provider_agree
76,宁波万象城,浙江省,宁波市,A,121.54960058,29.90108108,official_poi_auto,,,,,,tencent,宁波万象城,multi_provider_agree
77,宁波华侨城欢乐海岸PRO,浙江省,宁波市,A,121.52013046,29.82347391,manual_review,admin,,,2,2026-07-14 06:50:50,tencent,宁波华侨城欢乐海岸购物中心,multi_provider_agree
89,南京建邺万达广场,江苏省,南京市,A,118.73083481,32.03469161,official_poi_auto,,,,,,tencent,南京建邺万达广场,multi_provider_agree
91,龙湖苏州狮山天街A馆,江苏省,苏州市,A,120.55163891,31.29631521,official_poi_auto,,,,,,amap,龙湖苏州狮山天街·A馆,multi_provider_agree
93,杭州万象城,浙江省,杭州市,A,120.21071316,30.25428839,official_poi_auto,,,,,,tencent,杭州万象城,multi_provider_agree
96,南京大校场万象商业,江苏省,南京市,A,118.79176625,32.00013265,manual_review,admin,,,2,2026-07-15 01:20:00,amap,万象都荟商业广场,multi_provider_agree
104,宁波鄞州万达广场,浙江省,宁波市,A,121.5423348,29.8286731,official_poi_auto,,,,,,tencent,宁波鄞州万达广场,multi_provider_agree
106,温州吾悦广场,浙江省,温州市,A,120.71936555,27.989627,official_poi_auto,,,,,,tencent,温州吾悦广场,multi_provider_agree
109,杭州西溪印象城,浙江省,杭州市,A,120.04490193,30.24966779,official_poi_auto,,,,,,amap,杭州西溪印象城,multi_provider_agree
120,印力汇德隆杭州奥体印象城,浙江省,杭州市,A,120.24838989,30.22608481,official_poi_auto,,,,,,amap,印力汇德隆杭州奥体印象城,multi_provider_agree
121,无锡融创茂,江苏省,无锡市,A,120.26591758,31.44955332,official_poi_auto,,,,,,tencent,无锡融创茂,multi_provider_agree
131,上海青浦万达茂,上海市,上海市,A,121.07821239,31.13530866,manual_review,admin,,,2,2026-07-14 03:06:02,tencent,上海青浦万达茂,multi_provider_agree
135,上海正大广场,上海市,上海市,A,121.49504338,31.23887719,official_poi_auto,,,,,,tencent,正大广场,multi_provider_agree
137,温州龙湾万达广场,浙江省,温州市,A,120.80774611,27.92344575,official_poi_auto,,,,,,tencent,温州龙湾万达广场,multi_provider_agree
142,上海万象城,上海市,上海市,A,121.36449682,31.17228125,official_poi_auto,,,,,,tencent,上海万象城,multi_provider_agree
146,绍兴鹿山广场,浙江省,绍兴市,A,120.82277358,29.59211127,manual_review,admin,,,2,2026-07-14 06:59:20,tencent,嵊州宝龙广场,multi_provider_agree
147,永旺梦乐城南通星湖,江苏省,南通市,A,120.95760118,31.92528288,official_poi_auto,,,,,,tencent,永旺梦乐城(南通星湖店),multi_provider_agree
148,无锡万象城,江苏省,无锡市,A,120.27838346,31.51591355,official_poi_auto,,,,,,amap,无锡万象城,multi_provider_agree
149,温州印象城MEGA,浙江省,温州市,A,120.69726447,27.98851299,official_poi_auto,,,,,,amap,温州印象城MEGA,multi_provider_agree
