mall_id,name,province,city,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
7,南京金鹰世界,江苏省,南京市,C,manual_review,金鹰世界,应天大街888号,购物服务;商场;商场,118.73505313,32.02533624,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
13,杭州嘉里城市之星,浙江省,杭州市,C,manual_review,杭州嘉里中心,延安路385号(凤起路地铁站C4口步行90米),购物服务;商场;购物中心,120.15782334,30.26262448,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
20,无锡悦尚奥特莱斯,江苏省,无锡市,C,manual_review,悦尚奥特莱斯-E区,江苏省无锡市惠山区凤华路明发商业广场,购物:综合商场:购物中心,120.30546568,31.63518871,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
23,常州金鹰世界,江苏省,常州市,C,manual_review,金鹰世界,怀德中路与劳动西路交汇处,商务住宅;商务住宅相关;商务住宅相关,119.9380066,31.78016648,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
42,上海真如环宇城MAX,上海市,上海市,C,manual_review,真如环宇城MAX购物中心,南郑路与曹杨路交叉口东120米,购物服务;商场;商场,121.40415333,31.25147411,single_provider_strong,name_match_strong|single_provider_strong|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
53,苏州圆融时代广场,江苏省,苏州市,C,manual_review,圆融时代广场,江苏省苏州市吴中区工业园区旺墩路268号,购物:综合商场,120.70794729,31.32250075,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
57,上海大华老镇嘉年华,上海市,上海市,A,auto_pass,大华老镇嘉年华,场中路4048号(场中路地铁站1号口步行410米),购物服务;商场;普通商场,121.41310884,31.30379285,multi_provider_agree,name_match_strong|multi_provider_agree|not_available,suspicious=地铁
73,上海华之门徐汇华泾TOD项目,上海市,上海市,C,manual_review,GATE M华之门广场展厅,龙腾大道2266号3栋L204,生活服务;生活服务场所;生活服务场所,121.46093199,31.16371935,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review; suspicious=展厅
77,宁波华侨城欢乐海岸PRO,浙江省,宁波市,C,manual_review,宁波华侨城欢乐海岸购物中心,浙江省宁波市鄞州区欢乐海岸路7号欢乐海岸广场59号,购物:综合商场:购物中心,121.5194943,29.82269861,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
96,南京大校场万象商业,江苏省,南京市,C,manual_review,万象都荟商业广场,永乐路与龙蟠南路交叉口东南140米,购物服务;商场;普通商场|购物服务;商场;购物中心,118.79176625,32.00013265,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
