mall_id,name,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
13,杭州嘉里城市之星,C,manual_review,杭州嘉里中心,延安路385号(凤起路地铁站C4口步行90米),购物服务;商场;购物中心,120.15782334,30.26262448,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
77,宁波华侨城欢乐海岸PRO,C,manual_review,宁波华侨城欢乐海岸购物中心,浙江省宁波市鄞州区欢乐海岸路7号欢乐海岸广场59号,购物:综合商场:购物中心,121.5194943,29.82269861,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
146,绍兴鹿山广场,C,manual_review,嵊州宝龙广场,浙江省绍兴市嵊州市剡湖街道鹿山路6-7号,购物:综合商场:购物中心,120.82277157,29.59212126,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
173,杭州中南乐游城,C,manual_review,中南乐游城,江南大道1090号,购物服务;商场;购物中心,120.18578018,30.19670848,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
195,温州苍南银泰城,C,manual_review,苍南银泰城,玉苍路1088号,购物服务;商场;购物中心,120.42205414,27.51226625,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
202,温州大西洋银泰百货,C,manual_review,温州市瓯海区大西洋公共充电站(银泰百货),浙江省温州市瓯海区大西洋购物中心北广场停车场,汽车:加油站:充电站,120.60173309,27.96684467,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
216,宁波世纪东方广场,C,manual_review,世纪东方广场,中山东路1086号一楼,购物服务;商场;购物中心,121.59082528,29.86411741,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
222,杭州钱塘新区永旺梦乐城,C,manual_review,永旺梦乐城(杭州钱塘店),义蓬街道青六中路667号,购物服务;商场;购物中心,120.47877291,30.26531754,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
311,金华义乌绿地朝阳门,C,manual_review,义乌绿地朝阳门商业中心,浙江省金华市义乌市市场路与城中中路交叉口(义乌朝阳门地标),购物:综合商场:购物中心,120.07482501,29.30564603,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
373,杭州未来科技城万象商业,C,manual_review,杭州未来科技城万达广场,浙江省杭州市余杭区向往街与创景路交叉口东北,购物:综合商场:购物中心,119.99360055,30.28380699,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
