mall_id,name,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
67,宁波世纪金源购物中心,A,121.22669886,30.33109018,official_poi_auto,,,,,,amap,宁波世纪金源购物中心,multi_provider_agree
76,宁波万象城,A,121.54960058,29.90108108,official_poi_auto,,,,,,tencent,宁波万象城,multi_provider_agree
93,杭州万象城,A,120.21071316,30.25428839,official_poi_auto,,,,,,tencent,杭州万象城,multi_provider_agree
104,宁波鄞州万达广场,A,121.5423348,29.8286731,official_poi_auto,,,,,,tencent,宁波鄞州万达广场,multi_provider_agree
106,温州吾悦广场,A,120.71936555,27.989627,official_poi_auto,,,,,,tencent,温州吾悦广场,multi_provider_agree
109,杭州西溪印象城,A,120.04490193,30.24966779,official_poi_auto,,,,,,amap,杭州西溪印象城,multi_provider_agree
120,印力汇德隆杭州奥体印象城,A,120.24838989,30.22608481,official_poi_auto,,,,,,amap,印力汇德隆杭州奥体印象城,multi_provider_agree
137,温州龙湾万达广场,A,120.80774611,27.92344575,official_poi_auto,,,,,,tencent,温州龙湾万达广场,multi_provider_agree
149,温州印象城MEGA,A,120.69726447,27.98851299,official_poi_auto,,,,,,amap,温州印象城MEGA,multi_provider_agree
158,杭州光环梦中心,A,120.33598267,30.2341241,official_poi_auto,,,,,,tencent,杭州光环梦中心,multi_provider_agree
161,台州银泰城,A,121.39407468,28.62526874,official_poi_auto,,,,,,amap,台州银泰城,multi_provider_agree
169,杭州港龙悠乐城,A,120.2208639,30.29613835,official_poi_auto,,,,,,tencent,杭州港龙悠乐城,multi_provider_agree
171,温州万象城,A,120.68153996,27.9564854,official_poi_auto,,,,,,tencent,温州万象城,multi_provider_agree
194,宁波东部新城银泰城,A,121.61807328,29.85576137,official_poi_auto,,,,,,tencent,东部新城银泰城,multi_provider_agree
246,金华义乌万达广场,A,120.04006968,29.27935423,official_poi_auto,,,,,,tencent,金华义乌万达广场,multi_provider_agree
252,杭州湖滨银泰in77,A,120.15873473,30.25725412,official_poi_auto,,,,,,amap,杭州湖滨银泰广场,multi_provider_agree
275,丽水万地广场,A,119.92022119,28.46541215,official_poi_auto,,,,,,amap,丽水万地广场,multi_provider_agree
279,宁波天一广场,A,121.54999769,29.87238877,official_poi_auto,,,,,,amap,宁波天一广场,multi_provider_agree
356,杭州临平银泰城,A,120.29798182,30.40732671,official_poi_auto,,,,,,amap,杭州临平银泰城,multi_provider_agree
371,杭州城西银泰城,A,120.10278473,30.30182782,official_poi_auto,,,,,,tencent,杭州城西银泰城,multi_provider_agree
376,绍兴迎恩天地,A,120.56197581,30.01676267,official_poi_auto,,,,,,amap,上汽大众绍兴迎恩天地ID·Store,multi_provider_agree
388,杭州金沙印象城,A,120.33180493,30.31090035,official_poi_auto,,,,,,amap,杭州金沙印象城,multi_provider_agree
470,宁波高鑫广场,A,121.52147528,29.89844666,official_poi_auto,,,,,,tencent,宁波高鑫广场,multi_provider_agree
486,杭州良渚新城永旺梦乐城,A,120.05348073,30.3632728,official_poi_auto,,,,,,amap,永旺超市(杭州良渚新城永旺梦乐城店),multi_provider_agree
498,杭州金茂览秀城,A,119.94074443,30.04221847,official_poi_auto,,,,,,tencent,杭州金茂览秀城,multi_provider_agree
499,金华万达广场,A,119.67213676,29.09449999,official_poi_auto,,,,,,tencent,金华万达广场东区,multi_provider_agree
503,绍兴柯桥万达广场,A,120.50662105,30.09571652,official_poi_auto,,,,,,tencent,绍兴柯桥万达广场,multi_provider_agree
512,宁波海曙印象城,A,121.47363489,29.89929475,official_poi_auto,,,,,,amap,宁波海曙印象城,multi_provider_agree
520,宁波环球银泰城,A,121.54141605,29.79953977,official_poi_auto,,,,,,amap,华为智能生活馆•宁波环球银泰城,multi_provider_agree
543,宁波余姚万达广场,A,121.12887279,30.0303539,official_poi_auto,,,,,,tencent,宁波余姚万达广场,multi_provider_agree
553,杭州西投银泰城,A,120.09870546,30.1490929,official_poi_auto,,,,,,tencent,杭州西投银泰城,multi_provider_agree
556,温州乐清正大广场,A,120.96868519,28.09042301,official_poi_auto,,,,,,amap,smart汽车温州乐清正大广场展厅,multi_provider_agree
565,平湖吾悦广场,A,121.02222909,30.68087714,official_poi_auto,,,,,,tencent,平湖吾悦广场,multi_provider_agree
582,台州温岭银泰城,A,121.35731648,28.39574815,official_poi_auto,,,,,,amap,华为智能生活馆•台州温岭银泰城,multi_provider_agree
640,宁波江北万达广场,A,121.52622245,29.91849507,official_poi_auto,,,,,,tencent,宁波江北万达广场,multi_provider_agree
729,嘉兴经开万达广场,A,120.7140208,30.75449292,official_poi_auto,,,,,,tencent,嘉兴经开万达广场,multi_provider_agree
730,龙湖杭州金沙天街,A,120.32267822,30.31257324,official_poi_auto,,,,,,amap,龙湖杭州金沙天街,multi_provider_agree
750,慈溪吾悦广场,A,121.25481271,30.14649584,official_poi_auto,,,,,,tencent,OMO欧美欧宁波慈溪吾悦广场,multi_provider_agree
775,杭州大悦城,A,120.12490219,30.30324481,official_poi_auto,,,,,,amap,杭州大悦城,multi_provider_agree
788,温州瑞安新湖银泰城,A,120.69005936,27.76959534,official_poi_auto,,,,,,amap,瑞安新湖银泰城(鸿星尔克),multi_provider_agree
821,瑞安吾悦广场,A,120.65964685,27.78555511,official_poi_auto,,,,,,tencent,YZLE瑞安吾悦广场,multi_provider_agree
829,台州玉环吾悦广场,A,121.22300456,28.11675608,official_poi_auto,,,,,,tencent,台州玉环吾悦广场,multi_provider_agree
830,温州滨江5050购物中心,A,120.61449745,28.02086944,official_poi_auto,,,,,,tencent,温州滨江5050购物中心,multi_provider_agree
879,温州昊域广场,A,120.79075163,27.81896347,official_poi_auto,,,,,,tencent,温州昊域广场,multi_provider_agree
888,衢州爱琴海购物公园奥特莱斯,A,118.81816483,28.96597182,official_poi_auto,,,,,,tencent,衢州爱琴海购物公园奥特莱斯招商中心,multi_provider_agree
890,杭州远洋乐堤港,A,120.13739542,30.30759456,official_poi_auto,,,,,,amap,杭州远洋乐堤港,multi_provider_agree
914,温州平阳万达广场,A,120.56929186,27.58988307,official_poi_auto,,,,,,tencent,温州平阳万达广场,multi_provider_agree
940,嘉兴万达广场,A,120.79913887,30.73835221,official_poi_auto,,,,,,tencent,嘉兴万达广场-1号门,multi_provider_agree
979,宁波北仑银泰城,A,121.82707467,29.89808409,official_poi_auto,,,,,,amap,宁波北仑银泰城,multi_provider_agree
988,杭州滨江宝龙城,A,120.16285065,30.19021782,official_poi_auto,,,,,,tencent,杭州滨江宝龙城,multi_provider_agree
1006,嘉兴合乐城,A,120.77740667,30.7572824,official_poi_auto,,,,,,amap,嘉兴合乐城,multi_provider_agree
1010,杭州拱墅万达广场,A,120.11518924,30.33256295,official_poi_auto,,,,,,tencent,杭州拱墅万达广场,multi_provider_agree
1041,杭州ifc,A,120.2187127,30.26320962,official_poi_auto,,,,,,tencent,杭州IFC西岸会客厅,multi_provider_agree
1046,嘉兴海盐吾悦广场,A,120.92011773,30.53028143,official_poi_auto,,,,,,tencent,嘉兴海盐吾悦广场,multi_provider_agree
1085,温州滨江万象城,A,120.70654882,28.02061138,official_poi_auto,,,,,,amap,温州滨江万象城,multi_provider_agree
1128,龙湖绍兴镜湖天街,A,120.55842979,30.03671722,official_poi_auto,,,,,,amap,龙湖绍兴镜湖天街,multi_provider_agree
1150,龙湖杭州西溪天街,A,120.06378114,30.29584547,official_poi_auto,,,,,,tencent,龙湖杭州西溪天街,multi_provider_agree
1151,杭州百联奥特莱斯,A,120.23390776,30.43893147,official_poi_auto,,,,,,tencent,杭州百联奥特莱斯,multi_provider_agree
1171,绍兴诸暨万达广场,A,120.2731368,29.72028052,official_poi_auto,,,,,,tencent,绍兴诸暨万达广场,multi_provider_agree
1202,嘉兴江南摩尔购物中心,A,120.70494644,30.76503357,official_poi_auto,,,,,,tencent,嘉兴江南摩尔购物中心,multi_provider_agree
1241,杭州未来科技城万达广场,A,119.99313114,30.28342179,official_poi_auto,,,,,,tencent,杭州未来科技城万达广场,multi_provider_agree
1312,龙湖宁波海曙天街,A,121.51835112,29.8525198,official_poi_auto,,,,,,amap,龙湖宁波海曙天街,multi_provider_agree
1322,台州椒江宝龙城,A,121.40606712,28.67698621,official_poi_auto,,,,,,tencent,台州椒江宝龙城,multi_provider_agree
1348,宁波鄞州印象城,A,121.56239212,29.83567408,official_poi_auto,,,,,,amap,宁波鄞州印象城,multi_provider_agree
1352,台州经开万达广场,A,121.41272393,28.63913539,official_poi_auto,,,,,,tencent,台州经开万达广场,multi_provider_agree
1371,龙湖杭州丁桥天街,A,120.21107244,30.35302005,official_poi_auto,,,,,,amap,龙湖杭州丁桥天街,multi_provider_agree
1381,宁波东部印象城,A,121.62375383,29.88413017,official_poi_auto,,,,,,amap,宁波东部印象城(暂停营业),multi_provider_agree
1382,衢州万达广场,A,118.87374787,28.92980922,official_poi_auto,,,,,,tencent,衢州万达广场-西门,multi_provider_agree
1388,金华永康万达广场,A,120.06165612,28.9041416,official_poi_auto,,,,,,tencent,金华永康万达广场,multi_provider_agree
1390,绍兴金帝银泰城,A,120.57538981,29.98801428,official_poi_auto,,,,,,tencent,金帝银泰城-座椅,multi_provider_agree
1398,绍兴上虞万达广场,A,120.83990629,30.05582837,official_poi_auto,,,,,,tencent,绍兴上虞万达广场,multi_provider_agree
1466,杭州临安滨湖天地,A,119.73338003,30.23707402,official_poi_auto,,,,,,amap,杭州临安滨湖天地,multi_provider_agree
1532,杭州西溪银泰城,A,120.07036324,30.29557931,official_poi_auto,,,,,,amap,杭州西溪银泰城,multi_provider_agree
1547,湖州长兴利时广场,A,119.91460906,31.0226084,official_poi_auto,,,,,,tencent,湖州长兴利时广场,multi_provider_agree
1568,温州路之遥奥特莱斯商业广场,A,120.81517629,28.02508884,official_poi_auto,,,,,,tencent,温州路之遥奥特莱斯商业广场,multi_provider_agree
1602,舟山定海凯虹广场,A,122.11948183,30.02083562,official_poi_auto,,,,,,tencent,舟山定海凯虹广场东门,multi_provider_agree
1646,湖州佳源广场,A,120.06974949,30.84721713,official_poi_auto,,,,,,tencent,湖州佳源广场,multi_provider_agree
1686,宁波慈溪新河坊·云泰Park,A,121.27027241,30.18514858,official_poi_auto,,,,,,amap,慈溪新河坊·云泰Park,multi_provider_agree
1704,台州仙居吾悦广场,A,120.71661267,28.84874461,official_poi_auto,,,,,,tencent,台州仙居吾悦广场,multi_provider_agree
1709,台州天佑城,A,121.21862479,28.65169554,official_poi_auto,,,,,,amap,台州天佑城,multi_provider_agree
1738,杭州富阳万达广场,A,119.92807957,30.09201424,official_poi_auto,,,,,,tencent,杭州富阳万达广场,multi_provider_agree
1741,杭州来福士广场,A,120.20865045,30.25140249,official_poi_auto,,,,,,amap,杭州来福士广场,multi_provider_agree
1752,金华浦江海乐城,A,119.9089334,29.43858666,official_poi_auto,,,,,,tencent,金华浦江海乐城极充站,multi_provider_agree
1760,湖州德清银泰城,A,119.96495695,30.51835717,official_poi_auto,,,,,,tencent,湖州德清银泰城,multi_provider_agree
1788,龙湖宁波鄞州天街,A,121.58697112,29.88262222,official_poi_auto,,,,,,amap,龙湖宁波鄞州天街,multi_provider_agree
1801,丽水银泰城,A,119.92164979,28.44127085,official_poi_auto,,,,,,amap,丽水银泰城,multi_provider_agree
